%time,field
1441698638171118240,-0.00246189418249
1441698638187516975,-0.00252245226875
1441698638210130125,-0.00239942898043
1441698638222448418,-0.00246713939123
1441698638236979341,0.0318229533732
1441698638263331816,0.067844428122
1441698638273599128,0.192854583263
1441698638289504970,0.300669163465
1441698638307219192,0.419792324305
1441698638323607523,0.545049965382
1441698638340443164,0.679415583611
1441698638355538665,0.795707285404
1441698638373051020,0.92959612608
1441698638390049009,0.958485841751
1441698638404809752,0.997994601727
1441698638423186145,0.998995244503
1441698638437183456,0.999098718166
1441698638451689868,0.998374640942
1441698638469641307,0.998447835445
1441698638486595751,0.998758554459
1441698638507161096,0.999102652073
1441698638522432386,0.998974263668
1441698638536756047,0.999289691448
1441698638559292880,0.99927765131
1441698638576379799,0.998091638088
1441698638587832330,0.998651683331
1441698638600904919,0.99900406599
1441698638611955115,0.998673379421
1441698638623024681,0.997904956341
1441698638635777316,0.999028861523
1441698638649571063,0.999603450298
1441698638666858593,0.998507678509
1441698638683049935,0.998385608196
1441698638699324466,0.998082816601
1441698638716749682,0.99943035841
1441698638734241216,0.999023139477
1441698638750724414,0.999309718609
1441698638767136277,0.999845683575
1441698638782295758,0.998377978802
1441698638803396985,0.998556315899
1441698638820600654,0.999244868755
1441698638834725499,0.998852908611
1441698638858552399,0.999108493328
1441698638875639585,0.998190104961
1441698638887684725,0.998562991619
1441698638905351495,0.999004125595
1441698638918060881,0.997906863689
1441698638935337158,0.999372661114
1441698638954609569,0.998605906963
1441698638976505124,0.998836696148
1441698638989023592,0.999636828899
1441698638999944642,0.999098956585
1441698639015537975,0.998040378094
1441698639037869428,0.999449908733
1441698639052519340,0.998986423016
1441698639072236065,0.998861968517
1441698639085795408,0.999030768871
1441698639099655981,0.998679339886
1441698639117778143,0.998526275158
1441698639134708285,0.998194873333
1441698639151254389,0.999086558819
1441698639168055815,0.998352229595
1441698639182703260,0.998988091946
1441698639200579894,0.931302726269
1441698639216560946,0.931777656078
1441698639235443815,0.913243114948
1441698639252649654,0.904742121696
1441698639266162425,0.877500712872
1441698639286566792,0.868783354759
1441698639301401192,0.850458502769
1441698639315387173,0.805634558201
1441698639331820889,0.778889894485
1441698639348863538,0.761223614216
1441698639366066603,0.697928547859
1441698639385713906,0.653187215328
1441698639399521820,0.608020365238
1441698639418471441,0.527314841747
1441698639434686617,0.446355313063
1441698639452084041,0.330060243607
1441698639469593184,0.293465137482
1441698639482772678,0.177213713527
1441698639498953961,0.114028431475
1441698639516348450,0.0422474965453
1441698639532409166,-0.00132679077797
1441698639548880665,-0.00152825319674
1441698639566306526,-0.00134085735772
1441698639583649129,-0.00177501479629
1441698639600499296,-0.00180195597932
1441698639616213133,-0.00189708429389
1441698639634574164,-0.00201319344342
1441698639651445885,-0.00217221770436
1441698639670068136,-0.00217340956442
1441698639685228478,-0.00191949552391
1441698639698373703,-0.00191353505943
1441698639718662912,-0.00226233922876
1441698639734942421,-0.00229881703854
1441698639752614837,-0.00231359899044
1441698639767541250,-0.00214813742787
1441698639783956162,-0.00235746754333
1441698639799395368,-0.00965565163642
1441698639815926102,-0.125345364213
1441698639835579001,-0.161345869303
1441698639851883522,-0.250924497843
1441698639865967066,-0.322091281414
1441698639884634678,-0.349739074707
1441698639901335624,-0.394749820232
1441698639915351440,-0.457213908434
1441698639935959768,-0.493433624506
1441698639950338993,-0.529383838177
1441698639967167056,-0.582526028156
1441698639985096766,-0.59226089716
1441698640000411810,-0.637168526649
1441698640017713033,-0.700104534626
1441698640032613155,-0.745336532593
1441698640049490178,-0.780972778797
1441698640068748477,-0.807375192642
1441698640084042357,-0.834841549397
1441698640099389325,-0.8533167243
1441698640117772962,-0.86175096035
1441698640132061260,-0.861308455467
